1088
!n	0	2
!o	0	2
!p	0	2
!q	0	2
!r	0	2
!s	0	2
!t	0	2
!u	0	2
n	2	3
!o	2	3
!p	2	3
!q	2	3
!r	2	3
!s	2	3
!t	2	3
!u	2	3
!n	3	4
o	3	4
!p	3	4
!q	3	4
!r	3	4
!s	3	4
!t	3	4
!u	3	4
!n	4	5
!o	4	5
p	4	5
!q	4	5
!r	4	5
!s	4	5
!t	4	5
!u	4	5
n	5	6
!o	5	6
p	5	6
!q	5	6
!r	5	6
!s	5	6
!t	5	6
!u	5	6
!n	6	7
o	6	7
p	6	7
!q	6	7
!r	6	7
!s	6	7
!t	6	7
!u	6	7
n	7	8
o	7	8
p	7	8
!q	7	8
!r	7	8
!s	7	8
!t	7	8
!u	7	8
!n	8	9
!o	8	9
!p	8	9
q	8	9
!r	8	9
!s	8	9
!t	8	9
!u	8	9
n	9	10
!o	9	10
!p	9	10
q	9	10
!r	9	10
!s	9	10
!t	9	10
!u	9	10
!n	10	11
o	10	11
!p	10	11
q	10	11
!r	10	11
!s	10	11
!t	10	11
!u	10	11
n	11	12
!o	11	12
p	11	12
q	11	12
!r	11	12
!s	11	12
!t	11	12
!u	11	12
n	12	13
!o	12	13
!p	12	13
!q	12	13
r	12	13
!s	12	13
!t	12	13
!u	12	13
!n	13	14
!o	13	14
p	13	14
!q	13	14
r	13	14
!s	13	14
!t	13	14
!u	13	14
n	14	15
!o	14	15
p	14	15
!q	14	15
r	14	15
!s	14	15
!t	14	15
!u	14	15
n	15	16
o	15	16
p	15	16
!q	15	16
r	15	16
!s	15	16
!t	15	16
!u	15	16
!n	16	17
o	16	17
!p	16	17
q	16	17
r	16	17
!s	16	17
!t	16	17
!u	16	17
n	17	18
o	17	18
!p	17	18
q	17	18
r	17	18
!s	17	18
!t	17	18
!u	17	18
!n	18	19
!o	18	19
p	18	19
q	18	19
r	18	19
!s	18	19
!t	18	19
!u	18	19
!n	19	20
!o	19	20
!p	19	20
!q	19	20
!r	19	20
s	19	20
!t	19	20
!u	19	20
n	20	21
!o	20	21
!p	20	21
!q	20	21
!r	20	21
s	20	21
!t	20	21
!u	20	21
n	21	22
o	21	22
!p	21	22
!q	21	22
!r	21	22
s	21	22
!t	21	22
!u	21	22
n	22	23
!o	22	23
!p	22	23
q	22	23
!r	22	23
s	22	23
!t	22	23
!u	22	23
!n	23	24
!o	23	24
p	23	24
q	23	24
!r	23	24
s	23	24
!t	23	24
!u	23	24
n	24	25
o	24	25
p	24	25
q	24	25
!r	24	25
s	24	25
!t	24	25
!u	24	25
!n	25	26
!o	25	26
!p	25	26
!q	25	26
r	25	26
s	25	26
!t	25	26
!u	25	26
n	26	27
!o	26	27
p	26	27
!q	26	27
r	26	27
s	26	27
!t	26	27
!u	26	27
n	27	28
!o	27	28
!p	27	28
q	27	28
r	27	28
s	27	28
!t	27	28
!u	27	28
!n	28	29
o	28	29
!p	28	29
q	28	29
r	28	29
s	28	29
!t	28	29
!u	28	29
!n	29	30
!o	29	30
p	29	30
q	29	30
r	29	30
s	29	30
!t	29	30
!u	29	30
n	30	31
!o	30	31
!p	30	31
!q	30	31
!r	30	31
!s	30	31
t	30	31
!u	30	31
n	31	32
o	31	32
!p	31	32
!q	31	32
!r	31	32
!s	31	32
t	31	32
!u	31	32
n	32	33
!o	32	33
p	32	33
!q	32	33
!r	32	33
!s	32	33
t	32	33
!u	32	33
n	33	34
!o	33	34
!p	33	34
q	33	34
!r	33	34
!s	33	34
t	33	34
!u	33	34
!n	34	35
o	34	35
!p	34	35
q	34	35
!r	34	35
!s	34	35
t	34	35
!u	34	35
n	35	36
!o	35	36
p	35	36
q	35	36
!r	35	36
!s	35	36
t	35	36
!u	35	36
n	36	37
o	36	37
p	36	37
q	36	37
!r	36	37
!s	36	37
t	36	37
!u	36	37
!n	37	38
!o	37	38
!p	37	38
!q	37	38
r	37	38
!s	37	38
t	37	38
!u	37	38
!n	38	39
o	38	39
!p	38	39
!q	38	39
r	38	39
!s	38	39
t	38	39
!u	38	39
!n	39	40
!o	39	40
p	39	40
!q	39	40
r	39	40
!s	39	40
t	39	40
!u	39	40
n	40	41
!o	40	41
p	40	41
!q	40	41
r	40	41
!s	40	41
t	40	41
!u	40	41
n	41	42
o	41	42
!p	41	42
q	41	42
r	41	42
!s	41	42
t	41	42
!u	41	42
!n	42	43
!o	42	43
p	42	43
q	42	43
r	42	43
!s	42	43
t	42	43
!u	42	43
n	43	44
!o	43	44
p	43	44
q	43	44
r	43	44
!s	43	44
t	43	44
!u	43	44
!n	44	45
o	44	45
p	44	45
q	44	45
r	44	45
!s	44	45
t	44	45
!u	44	45
n	45	46
o	45	46
p	45	46
q	45	46
r	45	46
!s	45	46
t	45	46
!u	45	46
n	46	47
!o	46	47
!p	46	47
!q	46	47
!r	46	47
s	46	47
t	46	47
!u	46	47
!n	47	48
o	47	48
!p	47	48
!q	47	48
!r	47	48
s	47	48
t	47	48
!u	47	48
!n	48	49
!o	48	49
p	48	49
!q	48	49
!r	48	49
s	48	49
t	48	49
!u	48	49
n	49	50
