1032
!f	0	2
g	0	2
!h	0	2
!i	0	2
!j	0	2
!k	0	2
!l	0	2
!m	0	2
f	2	3
g	2	3
!h	2	3
!i	2	3
!j	2	3
!k	2	3
!l	2	3
!m	2	3
!f	3	4
!g	3	4
!h	3	4
i	3	4
!j	3	4
!k	3	4
!l	3	4
!m	3	4
f	4	5
!g	4	5
!h	4	5
i	4	5
!j	4	5
!k	4	5
!l	4	5
!m	4	5
f	5	6
g	5	6
h	5	6
i	5	6
!j	5	6
!k	5	6
!l	5	6
!m	5	6
f	6	7
!g	6	7
!h	6	7
!i	6	7
j	6	7
!k	6	7
!l	6	7
!m	6	7
!f	7	8
g	7	8
!h	7	8
!i	7	8
j	7	8
!k	7	8
!l	7	8
!m	7	8
f	8	9
g	8	9
!h	8	9
!i	8	9
j	8	9
!k	8	9
!l	8	9
!m	8	9
!f	9	10
g	9	10
h	9	10
!i	9	10
j	9	10
!k	9	10
!l	9	10
!m	9	10
!f	10	11
g	10	11
!h	10	11
i	10	11
j	10	11
!k	10	11
!l	10	11
!m	10	11
f	11	12
g	11	12
!h	11	12
i	11	12
j	11	12
!k	11	12
!l	11	12
!m	11	12
!f	12	13
g	12	13
h	12	13
i	12	13
j	12	13
!k	12	13
!l	12	13
!m	12	13
f	13	14
!g	13	14
!h	13	14
!i	13	14
!j	13	14
k	13	14
!l	13	14
!m	13	14
!f	14	15
g	14	15
!h	14	15
!i	14	15
!j	14	15
k	14	15
!l	14	15
!m	14	15
f	15	16
g	15	16
!h	15	16
!i	15	16
!j	15	16
k	15	16
!l	15	16
!m	15	16
!f	16	17
!g	16	17
h	16	17
!i	16	17
!j	16	17
k	16	17
!l	16	17
!m	16	17
f	17	18
g	17	18
h	17	18
!i	17	18
!j	17	18
k	17	18
!l	17	18
!m	17	18
f	18	19
!g	18	19
!h	18	19
i	18	19
!j	18	19
k	18	19
!l	18	19
!m	18	19
!f	19	20
!g	19	20
h	19	20
i	19	20
!j	19	20
k	19	20
!l	19	20
!m	19	20
!f	20	21
g	20	21
h	20	21
i	20	21
!j	20	21
k	20	21
!l	20	21
!m	20	21
f	21	22
g	21	22
h	21	22
i	21	22
!j	21	22
k	21	22
!l	21	22
!m	21	22
!f	22	23
!g	22	23
!h	22	23
!i	22	23
j	22	23
k	22	23
!l	22	23
!m	22	23
f	23	24
!g	23	24
!h	23	24
!i	23	24
j	23	24
k	23	24
!l	23	24
!m	23	24
f	24	25
g	24	25
!h	24	25
!i	24	25
j	24	25
k	24	25
!l	24	25
!m	24	25
f	25	26
g	25	26
h	25	26
!i	25	26
j	25	26
k	25	26
!l	25	26
!m	25	26
f	26	27
!g	26	27
!h	26	27
i	26	27
j	26	27
k	26	27
!l	26	27
!m	26	27
!f	27	28
g	27	28
!h	27	28
i	27	28
j	27	28
k	27	28
!l	27	28
!m	27	28
f	28	29
!g	28	29
h	28	29
i	28	29
j	28	29
k	28	29
!l	28	29
!m	28	29
!f	29	30
g	29	30
h	29	30
i	29	30
j	29	30
k	29	30
!l	29	30
!m	29	30
f	30	31
!g	30	31
!h	30	31
!i	30	31
!j	30	31
!k	30	31
l	30	31
!m	30	31
!f	31	32
g	31	32
h	31	32
!i	31	32
!j	31	32
!k	31	32
l	31	32
!m	31	32
f	32	33
!g	32	33
!h	32	33
i	32	33
!j	32	33
!k	32	33
l	32	33
!m	32	33
!f	33	34
g	33	34
!h	33	34
i	33	34
!j	33	34
!k	33	34
l	33	34
!m	33	34
f	34	35
g	34	35
!h	34	35
i	34	35
!j	34	35
!k	34	35
l	34	35
!m	34	35
!f	35	36
!g	35	36
h	35	36
i	35	36
!j	35	36
!k	35	36
l	35	36
!m	35	36
!f	36	37
g	36	37
h	36	37
i	36	37
!j	36	37
!k	36	37
l	36	37
!m	36	37
f	37	38
g	37	38
h	37	38
i	37	38
!j	37	38
!k	37	38
l	37	38
!m	37	38
!f	38	39
!g	38	39
!h	38	39
!i	38	39
j	38	39
!k	38	39
l	38	39
!m	38	39
f	39	40
!g	39	40
!h	39	40
!i	39	40
j	39	40
!k	39	40
l	39	40
!m	39	40
!f	40	41
!g	40	41
h	40	41
!i	40	41
j	40	41
!k	40	41
l	40	41
!m	40	41
f	41	42
!g	41	42
h	41	42
!i	41	42
j	41	42
!k	41	42
l	41	42
!m	41	42
!f	42	43
!g	42	43
!h	42	43
i	42	43
j	42	43
!k	42	43
l	42	43
!m	42	43
f	43	44
!g	43	44
!h	43	44
i	43	44
j	43	44
!k	43	44
l	43	44
!m	43	44
!f	44	45
g	44	45
!h	44	45
i	44	45
j	44	45
!k	44	45
l	44	45
!m	44	45
f	45	46
g	45	46
!h	45	46
i	45	46
j	45	46
!k	45	46
l	45	46
!m	45	46
